id,name,artist,time,date,y-channel,t-account
C9K0E8i9cN8,買って買って買って買って〜！,響木アオ,2:30,2018/04/25,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
PGnO5rWsAok,ChuChuChu♡ダーリン,響木アオ,4:28,2018/05/24,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
lI4FkcHvDqI,遅刻（デモバージョン）,響木アオ,3:54,2018/05/30,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
QS4iZW_LVOY,ひらりフワリ（デモバージョン）,響木アオ,4:54,2018/06/07,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
Mm-udBkQ9Dc,またね,響木アオ,3:33,2018/07/30,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
EuemLv9DNG4,スタートの合図,響木アオ,2:44,2018/10/06,UC1oPBUWifc0QOOY8DEKhLuQ,hibiki_ao
Zc6Hhcxn71s,ChuChuChu♡Darling【English ver.】,響木アオ,4:29,2018/12/25,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
zlp0MGLiAhQ,０と１と３,響木アオ,4:38,2019/01/07,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
kACQK4Mk7ig,アオの青汁,響木アオ,2:51,2019/03/01,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
SGh225LQAWU,マグロ漁船青空丸,響木アオ,1:00,2019/03/18,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
UKM1SGX2Fdc,melt warp (Short Ver),響木アオ,1:11,2019/04/12,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
z6j-PVjhxXQ,ヒビキズム (Short Ver),響木アオ,1:20,2019/05/10,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
5wSb6I_Btpk,ユメスクリーム (Short Ver),響木アオ,1:25,2019/06/04,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
SYIE2zCrPa0,七色の風,響木アオ feat. たこやきレインボー,2:08,2019/03/06,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
CkHWFxL9Rec,ffff66 -UnMellow Yellow-,戸越ぷらむ・七草くりむ,3:30,2018/12/31,UCk7cMvrfvH98Bfng58N_Zzw,plum_togoshi
oN5cAoM8Acg,言の葉のうた,甲賀流忍者ぽんぽこ,1:22,2018/10/21,UC1EB8moGYdkoZQfWHjh7Ivw,ponpokoka
If_GLYKh4aY,Life is tasty!,燦鳥ノム,5:43,2019/05/28,UCwRKt_raV3N5KZgxcFyC1vw,suntory_nomu
hmFr9rj7-pE,君にルムウム,燦鳥ノム,3:24,2019/07/31,UCwRKt_raV3N5KZgxcFyC1vw,suntory_nomu
7ZO9KJFfjz0,Moment,朱宮キキ,2:59,2018/10/31,UChNNAcQWbBiNveovGBBEIMQ,kiki_akemiya38
iTv1zqQsXic,もしも魔法が,将星アーサー,2:25,2019/01/14,UCDN3g0e86s64dvG6udZr5EA,
